"event_id","sport_name","pre_play_turnover","in_play_turnover"
"2.100601397","Tennis",614.45,23.17
"2.100601400","Tennis",49.05,314.87
"2.100601403","Tennis",10431.94,158093.74
"2.100601404","Tennis",100.76,40.36
"2.100601406","Tennis",3.18,55.34
"2.100601408","Tennis",3.18,3.18
"2.100601409","Tennis",76.34,3.18
"2.100601412","Tennis",64.74,64.74
"2.100601415","Tennis",10798.18,310678.42
"2.100601416","Tennis",283.78,304.32
"2.100601417","Tennis",113.91,1412.25
"2.100601418","Tennis",113.93,464.73
"2.100601420","Tennis",3.18,3.18
"2.100601421","Tennis",138.98,3.18
"2.100601424","Tennis",3.18,3.18
"2.100601427","Tennis",31405.01,111639.55
"2.100601428","Tennis",1845.5,445.36
"2.100601429","Tennis",151.74,3.18
"2.100601432","Tennis",695.31,88.91
"2.100601434","Tennis",222.26,400
"2.100601436","Tennis",92.98,60.9
"2.100601442","Tennis",265.43,11940.99
"2.100601444","Tennis",3.18,10.76
"2.100601445","Tennis",3.18,1239.02
"2.100601446","Tennis",52008.78,176868.5
"2.100601447","Tennis",363.58,53.36
"2.100601448","Tennis",52.34,4443.2
"2.100601449","Tennis",33.83,93.99
"2.100601451","Tennis",121.93,134.73
"2.100601452","Tennis",253.31,126.21
"2.100601455","Tennis",64.73,64.73
"2.100601458","Tennis",12958.5,116692.5
"2.100601459","Tennis",144.92,16
"2.100601460","Tennis",3.17,41.27
"2.100601461","Tennis",3.17,3.17
"2.100601463","Tennis",1392.53,89.91
"2.100601464","Tennis",6.41,3.17
"2.100601467","Tennis",64.72,64.72
"2.100601470","Tennis",34839.01,217168.99
"2.100601471","Tennis",1500.6,181.9
"2.100601472","Tennis",114.55,132.51
"2.100601473","Tennis",114.55,1504.89
"2.100601475","Tennis",1146.08,89.9
"2.100601476","Tennis",2002.73,61.83
"2.100601479","Tennis",94.21,61.93
"2.100601482","Tennis",43272.33,932439.83
"2.100601483","Tennis",553.14,144.84
"2.100601485","Tennis",52.54,357.86
"2.100601487","Tennis",218.78,3.18
"2.100601488","Tennis",126.66,126.66
"2.100601491","Tennis",3.18,3.18
"2.100601497","Tennis",9929.89,1967.87
"2.100601500","Tennis",3.18,944.96
"2.100601504","Tennis",60768.31,290310.61
"2.100601505","Tennis",200.73,3.39
"2.100601506","Tennis",237.81,285.67
"2.100601507","Tennis",3.17,851.39
"2.100601509","Tennis",224.35,3.17
"2.100601510","Tennis",112.55,3.17
"2.100601513","Tennis",58.17,3.17
"2.100601638","Tennis",22590.1,438919.26
"2.100601639","Tennis",176.46,20.22
"2.100601640","Tennis",3.17,178.63
"2.100601644","Tennis",308.08,126.76
"2.100601647","Tennis",64.64,64.64
"2.100601651","Tennis",3.17,3.17
"2.100601652","Tennis",3.17,3.17
"2.100601654","Tennis",3.17,3.17
"2.100601655","Tennis",3.17,3.17
"2.100601907","Cricket",459.74,998.82
"2.100601958","Cricket",1958.66,2928.74
"2.100602162","Tennis",67802.84,547240.32
"2.100602163","Tennis",1399.43,565.53
"2.100602164","Tennis",25.93,1793.61
"2.100602165","Tennis",114.39,1991.03
"2.100602167","Tennis",2711.2,96.26
"2.100602168","Tennis",569.7,126.7
"2.100602169","Tennis",39.08,0.16
"2.100602171","Tennis",90.85,65.01
"2.100602175","Tennis",3.17,3.17
"2.100602176","Tennis",3.17,3.17
"2.100602178","Tennis",3.17,3.17
"2.100602179","Tennis",3.17,3.17
"2.100602181","Tennis",96858.86,332465.96
"2.100602182","Tennis",9010.46,614.7
"2.100602183","Tennis",411.17,734.87
"2.100602184","Tennis",114.6,114.6
"2.100602186","Tennis",4344.09,396.93
"2.100602187","Tennis",43.17,103.17
"2.100602190","Tennis",91.01,65.13
"2.100602194","Tennis",3.17,3.17
"2.100602197","Tennis",3.17,3.17
"2.100602198","Tennis",3.17,3.17
"2.100602200","Tennis",42319.86,483186.64
"2.100602201","Tennis",1699.48,71.66
"2.100602202","Tennis",356.63,284.79
"2.100602203","Tennis",3.17,1090.61
"2.100602205","Tennis",3303.16,97.92
"2.100602206","Tennis",80.03,3.17
"2.100602209","Tennis",90.59,64.77
"2.100602214","Tennis",3.17,3.17
"2.100602216","Tennis",3.17,3.17
"2.100602217","Tennis",3.17,3.17
"2.100602219","Tennis",13964.24,305073.88
"2.100602220","Tennis",1573.54,707.36
"2.100602221","Tennis",114.5,394.5
"2.100602222","Tennis",3.17,13.17
"2.100602224","Tennis",189.91,89.91
"2.100602225","Tennis",10.29,3.17
"2.100602228","Tennis",16.11,34.93
"2.100602232","Tennis",3.17,3.17
"2.100602233","Tennis",3.17,3.17
"2.100602234","Tennis",3.17,3.17
"2.100602235","Tennis",3.17,3.17
"2.100602236","Tennis",3.17,3.17
"2.100602237","Tennis",3.17,3.17
"2.100602248","Soccer",138839.23,36045.03
"2.100602249","Soccer",4839.32,5817.36
"2.100602250","Soccer",6909.79,6844.29
"2.100602251","Soccer",19844.59,8647.81
"2.100602252","Soccer",3580.77,42985.31
"2.100602253","Soccer",4647.64,11108.34
"2.100602255","Soccer",2809.7,2224.76
"2.100602256","Soccer",1850.25,842.65
"2.100602257","Soccer",78.08,24.1
"2.100602259","Soccer",93.26,2414.28
"2.100602260","Soccer",3572.86,12217
"2.100602261","Soccer",845.32,1688.36
"2.100602262","Soccer",1910.66,14.48
"2.100602272","Soccer",964.96,563.16
"2.100602273","Soccer",2604.87,890.39
"2.100602276","Soccer",2141.01,1859.05
"2.100602277","Soccer",96.1,170.84
"2.100602280","Soccer",785.74,16.42
"2.100602314","Soccer",92414.3,56304.02
"2.100602315","Soccer",3519.74,4628.44
"2.100602316","Soccer",2418.98,11485.32
"2.100602317","Soccer",10688.28,28167.38
"2.100602318","Soccer",2564.2,14442.7
"2.100602319","Soccer",316.14,4911.08
"2.100602321","Soccer",4149.69,4139.65
"2.100602322","Soccer",467.97,1200.99
"2.100602323","Soccer",135.64,525.18
"2.100602325","Soccer",3555,2920.64
"2.100602326","Soccer",977.51,1917.71
"2.100602327","Soccer",1839.91,1008.95
"2.100602328","Soccer",315.1,57.18
"2.100602338","Soccer",1211,1101.82
"2.100602342","Soccer",1561.29,10164.23
"2.100602343","Soccer",60,193.3
"2.100602344","Soccer",355.48,297.98
"2.100602380","Soccer",37576.67,51695.97
"2.100602381","Soccer",2856.7,12499.38
"2.100602382","Soccer",1753.72,28402.14
"2.100602383","Soccer",7664.22,34568.54
"2.100602384","Soccer",2559.22,34543.72
"2.100602385","Soccer",2275.37,7447.97
"2.100602387","Soccer",2837.38,9286.44
"2.100602388","Soccer",746.28,2567.82
"2.100602391","Soccer",361.83,5395.21
"2.100602392","Soccer",3305.77,3210.13
"2.100602393","Soccer",833.45,62.11
"2.100602394","Soccer",338.26,8.76
"2.100602404","Soccer",618.5,392.18
"2.100602405","Soccer",296.56,96.32
"2.100602408","Soccer",2659.94,4109.52
"2.100602409","Soccer",106.48,575.42
"2.100602446","Tennis",25.77,9247.37
"2.100602448","Tennis",4.79,4.79
"2.100602449","Tennis",6.34,124.34
"2.100602450","Tennis",21520.25,125857.03
"2.100602451","Tennis",864.52,162.2
"2.100602452","Tennis",3.17,1065.91
"2.100602453","Tennis",6.34,6.34
"2.100602455","Tennis",209.35,3.17
"2.100602456","Tennis",143.85,126.99
"2.100602459","Tennis",90.98,65.16
"2.100602463","Tennis",3.17,3.17
"2.100602464","Tennis",3.17,3.17
"2.100602467","Tennis",3.17,3.17
"2.100602480","Cricket",463.42,144
"2.100602482","Tennis",36376.15,232434.31
"2.100602483","Tennis",742.78,36.16
"2.100602484","Tennis",78.35,78.35
"2.100602485","Tennis",33.99,42.09
"2.100602487","Tennis",1065.52,658.84
"2.100602488","Tennis",5408.27,126.91
"2.100602491","Tennis",64.72,64.72
"2.100602496","Tennis",3.17,3.17
"2.100602499","Tennis",3.17,3.17
"2.100602501","Tennis",81474.28,319583.42
"2.100602502","Tennis",2316.34,128.82
"2.100602503","Tennis",882.41,170.83
"2.100602504","Tennis",53.11,53.11
"2.100602510","Tennis",64.85,64.85
"2.100602514","Tennis",3.17,3.17
"2.100602515","Tennis",3.17,3.17
"2.100602518","Tennis",3.17,3.17
"2.100602536","Tennis",284.55,704.67
"2.100602538","Tennis",3.17,3.17
"2.100602539","Tennis",3.17,3.17
"2.100602540","Tennis",104886.46,88098.98
"2.100602541","Tennis",411.52,51.68
"2.100602542","Tennis",114.55,403.03
"2.100602543","Tennis",114.58,114.58
"2.100602545","Tennis",468.16,3191.88
"2.100602546","Tennis",3485.47,472.77
"2.100602549","Tennis",3.17,185.65
"2.100602553","Tennis",3.17,3.17
"2.100602554","Tennis",3.17,3.17
"2.100602556","Tennis",3.17,3.17
"2.100602557","Tennis",3.17,3.17
"2.100602559","Tennis",75979.47,495555.73
"2.100602561","Tennis",359.01,1839.39
"2.100602562","Tennis",3.17,165.27
"2.100602563","Tennis",311.73,103.89
"2.100602565","Tennis",329.09,3.17
"2.100602568","Tennis",85.68,65.68
"2.100602572","Tennis",3.17,3.17
"2.100602573","Tennis",3.17,3.17
"2.100602576","Tennis",3.17,3.17
"2.100602881","Cricket",963821.23,9993955.37
