latitude,longitude,city,region_name,country_name,sport_name,number_of_customers
-33.7487,151.0338,Pennant Hills,New South Wales,Australia,Rugby League,21
-42.9800,147.5285,Sandford,Tasmania,Australia,Soccer,11
-35.3634,149.0986,Mawson,Australian Capital Territory,Australia,Rugby Union,6
-34.9863,138.5975,Colonel Light Gardens,South Australia,Australia,Australian Rules,31
-34.7783,138.6292,Parafield Gardens,South Australia,Australia,Soccer,18
-34.9026,138.5791,Bowden,South Australia,Australia,Australian Rules,28
-33.9736,151.1373,Kogarah,New South Wales,Australia,Tennis,17
-16.8769,145.7566,Cairns,Queensland,Australia,Cricket,23
-45.0420,169.1991,Cromwell,Otago,New Zealand,Tennis,3
-27.5167,152.0833,Lockyer,Queensland,Australia,Soccer,3
-31.9828,116.0067,Forrestfield,Western Australia,Australia,Rugby League,4
-30.9539,148.3888,Coonamble,New South Wales,Australia,Tennis,1
-42.8832,147.3317,Hobart,Tasmania,Australia,Australian Rules,42
-38.0333,145.1167,Edithvale,Victoria,Australia,Rugby League,4
-37.8167,145.0500,Hawthorn,Victoria,Australia,Soccer,22
-37.6333,146.2667,Jordan,Victoria,Australia,Soccer,16
-33.8708,151.2792,Vaucluse,New South Wales,Australia,Rugby League,37
-32.2419,152.4712,Coomba Park,New South Wales,Australia,Rugby League,5
-27.0167,152.9500,Elimbah,Queensland,Australia,Cricket,13
-27.2977,152.9066,Cashmere,Queensland,Australia,Cricket,28
-36.9000,144.2167,Ravenswood,Victoria,Australia,Australian Rules,2
-33.2632,151.5394,Toukley,New South Wales,Australia,Soccer,5
-33.8675,151.1291,Five Dock,New South Wales,Australia,Rugby Union,20
-33.1097,151.5323,Bonnells Bay,New South Wales,Australia,Australian Rules,3
-25.9279,113.5337,Denham,Western Australia,Australia,Rugby League,1
-31.9587,115.8711,Perth,Western Australia,Australia,Soccer,30
-31.9694,152.5881,Old Bar,New South Wales,Australia,Rugby League,3
-27.3397,153.0292,Fitzgibbon,Queensland,Australia,Cricket,13
-37.7532,145.0385,Bellfield,Victoria,Australia,Soccer,7
-34.6667,149.7333,Norwood,New South Wales,Australia,Cricket,1
-35.1873,149.0965,Nicholls,Australian Capital Territory,Australia,Soccer,16
-33.2804,151.4804,Tuggerawong,New South Wales,Australia,Rugby League,20
-38.1376,144.3337,Manifold Heights,Victoria,Australia,Tennis,3
-42.8667,147.6833,Carlton,Tasmania,Australia,Tennis,2
-35.3050,149.1412,Canberra,Australian Capital Territory,Australia,Tennis,38
-36.8000,147.2167,Mount Beauty,Victoria,Australia,Australian Rules,5
-38.6868,176.0718,Taupo,Waikato,New Zealand,Rugby Union,1
-27.4333,153.0167,Newmarket,Queensland,Australia,Australian Rules,28
-33.6197,151.2036,Terry Hills,New South Wales,Australia,Rugby League,6
-37.9728,144.5643,Point Cook,Victoria,Australia,Soccer,23
-33.3388,151.4978,The Entrance North Peninsula Natural Area,New South Wales,Australia,Soccer,22
-33.9332,151.1111,Earlwood,New South Wales,Australia,Australian Rules,23
-33.5872,150.8586,Pitt Town,New South Wales,Australia,Tennis,7
-32.0167,115.8333,Applecross,Western Australia,Australia,Cricket,30
-35.0000,138.7500,Bridgewater,South Australia,Australia,Rugby League,17
-33.7482,150.8927,Marayong,New South Wales,Australia,Rugby Union,1
-37.8667,145.2833,Boronia,Victoria,Australia,Soccer,96
-36.3833,145.3000,Ardmona,Victoria,Australia,Australian Rules,7
-27.5127,152.2954,Gatton,Queensland,Australia,Rugby Union,10
-31.9000,115.9667,Guildford,Western Australia,Australia,Rugby Union,2
-37.8771,145.1294,Mount Waverley,Victoria,Australia,Rugby League,92
-33.9668,150.9833,Panania,New South Wales,Australia,Australian Rules,22
-37.7866,144.9685,Carlton North,Victoria,Australia,Australian Rules,65
-32.7733,151.6058,Ashtonfield,New South Wales,Australia,Rugby Union,10
-27.6128,153.0324,Algester,Queensland,Australia,Rugby League,107
-35.0167,138.6167,Blackwood,South Australia,Australia,Rugby Union,1
-33.7277,150.8474,Colebee,New South Wales,Australia,Soccer,20
-27.3122,152.9498,Warner,Queensland,Australia,Rugby League,101
-32.9028,151.6907,Jesmond,New South Wales,Australia,Soccer,35
-37.6333,144.8667,Glenvale,Victoria,Australia,Soccer,52
-21.4122,141.2496,Moorooka,Queensland,Australia,Cricket,100
-27.4886,153.0366,Woolloongabba,Queensland,Australia,Tennis,16
-32.6539,151.9604,Karuah,New South Wales,Australia,Tennis,1
-37.8846,145.2954,Ferntree Gully,Victoria,Australia,Tennis,51
-31.9333,115.8833,Maylands,Western Australia,Australia,Cricket,19
-33.8167,151.0886,Meadowbank,New South Wales,Australia,Rugby Union,9
-37.8416,145.0177,Toorak,Victoria,Australia,Rugby Union,32
-34.0333,151.0833,Gymea,New South Wales,Australia,Rugby League,88
-34.2833,150.5167,Picton,New South Wales,Australia,Rugby League,7
-37.7583,145.0051,Thornbury,Victoria,Australia,Tennis,91
-27.5971,152.9743,Inala,Queensland,Australia,Australian Rules,30
-33.9353,151.1257,Bexley,New South Wales,Australia,Soccer,94
-33.0762,151.4541,Cooranbong,New South Wales,Australia,Australian Rules,6
-33.0762,151.4541,Cooranbong,New South Wales,Australia,Soccer,7
-36.8531,174.6466,Auckland,Auckland,New Zealand,Australian Rules,9
-26.9354,151.4510,Bell,Queensland,Australia,Tennis,54
-36.7443,174.6947,Auckland,Auckland,New Zealand,Soccer,50
-23.3940,150.5039,Rockhampton,Queensland,Australia,Tennis,9
-34.9910,138.8257,Balhannah,South Australia,Australia,Australian Rules,12
-34.1041,150.7928,Rosemeadow,New South Wales,Australia,Soccer,29
-33.9500,151.2167,Banksmeadow,New South Wales,Australia,Australian Rules,4
-37.9770,145.2587,Endeavour Hills,Victoria,Australia,Australian Rules,165
-37.7610,175.2474,Hamilton,Waikato,New Zealand,Tennis,19
