calendar_dt,sport_name,turnover_gbp
2013-03-15T00:00:00.0000000,Tennis,213370.3744
2013-03-16T00:00:00.0000000,Cricket,4823.392
2013-03-16T00:00:00.0000000,Rugby League,277363.1488
2013-03-16T00:00:00.0000000,Rugby Union,191852.3136
2013-03-16T00:00:00.0000000,Soccer,796696.4352
2013-03-16T00:00:00.0000000,Tennis,377151.8016
2013-03-17T00:00:00.0000000,Cricket,139747.52
2013-03-17T00:00:00.0000000,Rugby League,318561.6704
2013-03-17T00:00:00.0000000,Rugby Union,451.6672
2013-03-17T00:00:00.0000000,Soccer,677643.8208
2013-03-17T00:00:00.0000000,Tennis,277152.9152
2013-03-18T00:00:00.0000000,Cricket,2226800.147
2013-03-18T00:00:00.0000000,Rugby League,224356.4032
2013-03-18T00:00:00.0000000,Soccer,53781.6512
2013-03-18T00:00:00.0000000,Tennis,36705.6768
2013-03-19T00:00:00.0000000,Cricket,355018.336
2013-03-19T00:00:00.0000000,Soccer,83323.3024
2013-03-19T00:00:00.0000000,Tennis,100707.1296
2013-03-20T00:00:00.0000000,Cricket,7757.6768
2013-03-20T00:00:00.0000000,Soccer,44726.7776
2013-03-20T00:00:00.0000000,Tennis,110714.8032
2013-03-21T00:00:00.0000000,Cricket,140868.4416
2013-03-21T00:00:00.0000000,Rugby League,271440.0192
2013-03-21T00:00:00.0000000,Soccer,53750.3808
2013-03-21T00:00:00.0000000,Tennis,205274.08
2013-03-22T00:00:00.0000000,Australian Rules,143213.152
2013-03-22T00:00:00.0000000,Cricket,84085.376
2013-03-22T00:00:00.0000000,Rugby League,149034.3232
2013-03-22T00:00:00.0000000,Rugby Union,59226.5792
2013-03-22T00:00:00.0000000,Soccer,196307.1488
2013-03-22T00:00:00.0000000,Tennis,137730.8544
2013-03-23T00:00:00.0000000,Australian Rules,116042.6368
2013-03-23T00:00:00.0000000,Cricket,49302.0288
2013-03-23T00:00:00.0000000,Rugby League,224016.7552
2013-03-23T00:00:00.0000000,Rugby Union,129427.68
2013-03-23T00:00:00.0000000,Soccer,181598.016
2013-03-23T00:00:00.0000000,Tennis,189871.6928
2013-03-24T00:00:00.0000000,Cricket,822327.8464
2013-03-24T00:00:00.0000000,Rugby League,369619.0336
2013-03-24T00:00:00.0000000,Rugby Union,38791.4624
2013-03-24T00:00:00.0000000,Soccer,189902.6176
2013-03-24T00:00:00.0000000,Tennis,216979.9488
2013-03-25T00:00:00.0000000,Cricket,2811.8144
2013-03-25T00:00:00.0000000,Rugby League,193286.1568
2013-03-25T00:00:00.0000000,Soccer,66279.6544
2013-03-25T00:00:00.0000000,Tennis,410816.8064
2013-03-26T00:00:00.0000000,Cricket,750635.744
2013-03-26T00:00:00.0000000,Soccer,308686.5856
2013-03-26T00:00:00.0000000,Tennis,217347.6544
2013-03-27T00:00:00.0000000,Cricket,8227.5136
2013-03-27T00:00:00.0000000,Soccer,78923.6096
2013-03-27T00:00:00.0000000,Tennis,203008.3136
2013-03-28T00:00:00.0000000,Australian Rules,193196.8
2013-03-28T00:00:00.0000000,Cricket,224736.6528
2013-03-28T00:00:00.0000000,Rugby League,160416.6848
2013-03-28T00:00:00.0000000,Soccer,124614.8864
2013-03-28T00:00:00.0000000,Tennis,110067.4752
2013-03-29T00:00:00.0000000,Australian Rules,13.6832
2013-03-29T00:00:00.0000000,Cricket,3130.9504
2013-03-29T00:00:00.0000000,Rugby League,698577.2224
2013-03-29T00:00:00.0000000,Rugby Union,42454.9248
2013-03-29T00:00:00.0000000,Soccer,179331.4816
2013-03-29T00:00:00.0000000,Tennis,156067.5456
2013-03-30T00:00:00.0000000,Australian Rules,483195.5264
2013-03-30T00:00:00.0000000,Cricket,7387.7952
2013-03-30T00:00:00.0000000,Rugby League,150141.3568
2013-03-30T00:00:00.0000000,Rugby Union,120272.3776
2013-03-30T00:00:00.0000000,Soccer,762352.8128
2013-03-30T00:00:00.0000000,Tennis,174964.6592
2013-03-31T00:00:00.0000000,Australian Rules,255932.736
2013-03-31T00:00:00.0000000,Cricket,104658.272
2013-03-31T00:00:00.0000000,Rugby League,200892.3648
2013-03-31T00:00:00.0000000,Rugby Union,20132.4864
2013-03-31T00:00:00.0000000,Soccer,561569.1904
2013-03-31T00:00:00.0000000,Tennis,302904.8896
2013-04-01T00:00:00.0000000,Australian Rules,256564.0128
2013-04-01T00:00:00.0000000,Rugby League,268781.9968
2013-04-01T00:00:00.0000000,Soccer,459044.2368
2013-04-01T00:00:00.0000000,Tennis,52534.1312
2013-04-02T00:00:00.0000000,Cricket,7801.6128
2013-04-02T00:00:00.0000000,Soccer,217644.5696
2013-04-02T00:00:00.0000000,Tennis,103340.2048
2013-04-03T00:00:00.0000000,Cricket,200648.1792
2013-04-03T00:00:00.0000000,Soccer,190292.064
2013-04-03T00:00:00.0000000,Tennis,142253.6384
2013-04-04T00:00:00.0000000,Australian Rules,2.9184
2013-04-04T00:00:00.0000000,Cricket,159061.952
2013-04-04T00:00:00.0000000,Rugby Union,222.0096
2013-04-04T00:00:00.0000000,Soccer,146734.336
2013-04-04T00:00:00.0000000,Tennis,68730.5472
2013-04-05T00:00:00.0000000,Australian Rules,213787.264
2013-04-05T00:00:00.0000000,Cricket,152747.6736
2013-04-05T00:00:00.0000000,Rugby League,305335.168
2013-04-05T00:00:00.0000000,Rugby Union,79527.52
2013-04-05T00:00:00.0000000,Soccer,154440.5952
2013-04-05T00:00:00.0000000,Tennis,169271.488
2013-04-06T00:00:00.0000000,Australian Rules,616675.168
2013-04-06T00:00:00.0000000,Cricket,423228.7488
2013-04-06T00:00:00.0000000,Rugby League,253231.8592
2013-04-06T00:00:00.0000000,Rugby Union,68026.72
2013-04-06T00:00:00.0000000,Soccer,708711.5072
2013-04-06T00:00:00.0000000,Tennis,75071.5584
2013-04-07T00:00:00.0000000,Australian Rules,552177.056
2013-04-07T00:00:00.0000000,Cricket,115034.72
2013-04-07T00:00:00.0000000,Rugby League,380420.7936
2013-04-07T00:00:00.0000000,Rugby Union,8575.5584
2013-04-07T00:00:00.0000000,Soccer,655382.4576
2013-04-07T00:00:00.0000000,Tennis,103901.9712
2013-04-08T00:00:00.0000000,Australian Rules,229.8944
2013-04-08T00:00:00.0000000,Cricket,304466.8736
2013-04-08T00:00:00.0000000,Rugby League,256202.2656
2013-04-08T00:00:00.0000000,Soccer,165288.5824
2013-04-08T00:00:00.0000000,Tennis,77713.1584
